longitude,latitude,sunshine_category
140.125,-11.125,7
140.375,-11.125,7
140.625,-11.125,7
140.875,-11.125,7
141.125,-11.125,7
141.375,-11.125,7
141.625,-11.125,7
141.875,-11.125,7
142.125,-11.125,7
142.375,-11.125,7
142.625,-11.125,7
142.875,-11.125,7
143.125,-11.125,7
143.375,-11.125,7
143.625,-11.125,7
143.875,-11.125,7
144.125,-11.125,7
144.375,-11.125,7
144.625,-11.125,7
144.875,-11.125,7
145.125,-11.125,7
145.375,-11.125,7
145.625,-11.125,7
145.875,-11.125,7
146.125,-11.125,7
146.375,-11.125,7
146.625,-11.125,7
146.875,-11.125,7
147.125,-11.125,7
147.375,-11.125,7
147.625,-11.125,7
147.875,-11.125,7
148.125,-11.125,7
148.375,-11.125,7
148.625,-11.125,7
148.875,-11.125,7
149.125,-11.125,7
149.375,-11.125,7
149.625,-11.125,7
149.875,-11.125,7
150.125,-11.125,7
150.375,-11.125,7
150.625,-11.125,7
150.875,-11.125,7
151.125,-11.125,7
151.375,-11.125,7
151.625,-11.125,7
151.875,-11.125,7
152.125,-11.125,6
152.375,-11.125,6
152.625,-11.125,5
152.875,-11.125,5
153.125,-11.125,4
153.375,-11.125,4
153.625,-11.125,3
153.875,-11.125,3
154.125,-11.125,2
154.375,-11.125,2
154.625,-11.125,2
154.875,-11.125,1
155.125,-11.125,1
155.375,-11.125,1
155.625,-11.125,1
155.875,-11.125,1
156.125,-11.125,0
111.875,-11.375,0
112.125,-11.375,0
112.375,-11.375,0
112.625,-11.375,0
112.875,-11.375,0
113.125,-11.375,0
113.375,-11.375,1
113.625,-11.375,1
113.875,-11.375,1
114.125,-11.375,1
114.375,-11.375,1
114.625,-11.375,1
114.875,-11.375,1
115.125,-11.375,1
115.375,-11.375,1
115.625,-11.375,2
115.875,-11.375,2
116.125,-11.375,2
116.375,-11.375,2
116.625,-11.375,2
116.875,-11.375,2
117.125,-11.375,2
117.375,-11.375,3
117.625,-11.375,3
117.875,-11.375,3
118.125,-11.375,3
118.375,-11.375,3
118.625,-11.375,4
118.875,-11.375,4
119.125,-11.375,4
119.375,-11.375,4
119.625,-11.375,4
119.875,-11.375,5
120.125,-11.375,5
120.375,-11.375,5
120.625,-11.375,5
120.875,-11.375,6
121.125,-11.375,6
121.375,-11.375,6
121.625,-11.375,6
121.875,-11.375,7
122.125,-11.375,7
122.375,-11.375,7
122.625,-11.375,8
122.875,-11.375,8
123.125,-11.375,8
123.375,-11.375,9
123.625,-11.375,9
123.875,-11.375,9
124.125,-11.375,9
124.375,-11.375,9
124.625,-11.375,8
124.875,-11.375,8
125.125,-11.375,8
125.375,-11.375,8
125.625,-11.375,8
125.875,-11.375,8
126.125,-11.375,8
126.375,-11.375,8
126.625,-11.375,8
126.875,-11.375,8
127.125,-11.375,8
127.375,-11.375,8
127.625,-11.375,8
127.875,-11.375,8
128.125,-11.375,8
128.375,-11.375,8
128.625,-11.375,8
128.875,-11.375,8
129.125,-11.375,8
129.375,-11.375,8
